Title,Company,Location,Salary
データアナリスト,Peroptyx,フルリモート in 東京都,"月給 97,500円 ~ 195,000円"
【データアナリスト】データ分析を通して郵便局、日本の未来を切り拓く/システムインテグレータ・ソフトハウス,株式会社JPデジタル,一部在宅 in 東京都 千代田区 大手町,"年収 600万円 ~ 1,000万円"
【データサイエンスチーム/アナリスト】実務未経験可_アジア・太平洋地域TOP10のビッグデータカンパニー/ITコンサルティング,澪標アナリティクス株式会社,東京都 江東区 豊洲,年収 420万円 ~ 660万円
【デジタルマーケティング領域】データアナリスト/プロモーション戦略立案,ハンターサイト株式会社,東京都 新宿区 市谷本村町,月給 35万円 ~ 50万円
データアナリスト,Exception株式会社,東京都 中央区 日本橋室町,月給 29万円 ~ 50万円
データアナリスト/大手電機メーカーグループ,ソニーマーケティング株式会社,東京都 港区 港南,月給 30万円 ~ 45万円
ヘルスケア領域のデータアナリスト(アソシエイト)/医療・福祉・介護サービス,株式会社ウェル・アイ,東京都 品川区 東五反田,年収 300万円
恵比寿駅《データサイエンティスト》未経験可/3カ月研修/Python・R・SQL,株式会社SKY,東京都 渋谷区 恵比寿駅,月給 30万円 以上
【リモート可】DX戦略支援 データアナリスト,株式会社豆蔵,東京都 新宿区,年俸 400万円 ~ 500万円
データベースエンジニア、データアナリスト,ポリプラスチックス株式会社,東京都 港区 港南,年収 589万円 ~ 945万円
【実務未経験可】データサイエンティスト・データエンジニア,ROYAL AGENT(株),東京都 新宿区 西新宿,月給 24万円 ~ 55万円
【データアナリスト】/インターネット/Webサービス・ASP,TFHD digital株式会社,東京都 渋谷区 道玄坂,"年収 500万円 ~ 1,000万円"
データアナリスト/インターネット/Webサービス・ASP,株式会社トラストリッジ,東京都 目黒区 中目黒,年収 450万円 ~ 700万円
【テク】25本選考,株式会社サイバーエージェント,東京都 渋谷区 宇田川町,新卒
データアナリスト(ポテンシャル採用)/インターネット/Webサービス・ASP,株式会社CAMPFIRE,フルリモート in 東京都 渋谷区 猿楽町,年収 400万円 ~ 600万円
データ分析/週5日/フルリモート/HR事業のデータアナリスト業務案件,株式会社クラウドワークス,東京都 港区 浜松町駅,月給 80万円
データアナリスト/ITコンサルティング,株式会社oneroots,東京都 千代田区 神田須田町,年収 500万円 ~ 799万円
【データアナリスト】在宅勤務可!ファンコミュニティの分析でプロダクト価値を向上!,株式会社Gaudiy,東京都 渋谷区,年収 400万円 ~ 800万円
「リモート/フレックス」ビジネスアナリスト/データ分析/スマホゲーム,株式会社セガ,一部在宅 in 東京都 品川区 大崎駅,"年収 500万円 ~ 1,300万円"
コンサルティング会社　データアナリスト,株式会社Kaisuke,フルリモート in 東京都 新宿区 西新宿,月給 38.1万円 以上
データサイエンティスト/その他コンサルティング系,株式会社True Data,東京都 港区 芝大門,"年収 600万円 ~ 1,200万円"
データアナリスト,パーソルプロセス&テクノロジー株式会社,東京都 江東区,月給 25.0万円 ~ 43.3万円
データアナリスト・データサイエンティスト,大和証券 株式会社,東京都 千代田区,月給 30万円 ~ 70万円
データアナリスト/インターネット/Webサービス・ASP,株式会社ブックリスタ,東京都 港区 赤坂,年収 600万円 ~ 900万円
データアナリスト,株式会社テイクス,東京都 豊島区 東池袋,月給 25万円 ~ 42万円
データアナリスト/インターネット/Webサービス・ASP,株式会社エモーションテック,一部在宅 in 東京都 港区 西新橋,年収 500万円 ~ 780万円
コンサルタント・データアナリスト,(株)風音屋,一部在宅 in 東京都 台東区 上野,月給 28万円 ~ 76万円
データアナリスト,au損害保険株式会社,東京都 港区,"年収 600万円 ~ 1,600万円"
データアナリスト・データサイエンティスト,株式会社金融エンジニアリング・グループ,東京都 中央区,月給 20.5万円 ~ 35.0万円
スニーカーメディア|データアナリスト,株式会社SODA,東京都 渋谷区 渋谷,年収 400万円 ~ 600万円
スニーカーメディア|データアナリスト,株式会社SODA,東京都 渋谷区 渋谷,年収 400万円 ~ 600万円
システムエンジニア/データアナリスト,株式会社BookLive,東京都 港区,年収 500万円 ~ 600万円
データアナリスト・データサイエンティスト,株式会社金融エンジニアリング・グループ,東京都 中央区,月給 20.5万円 ~ 35.0万円
【クラシルリワード】データアナリスト/インターネット/Webサービス・ASP,dely株式会社,一部在宅 in 東京都 港区 芝浦,年収 500万円 ~ 750万円
コンサルタント・データアナリスト,(株)風音屋,一部在宅 in 東京都 台東区 上野,月給 28万円 ~ 76万円
データサイエンティスト・アナリスト,株式会社日立コンサルティング,東京都 千代田区,正社員
編集・記者・ライター,国際商業出版株式会社,東京都 中央区,月給 25万円 以上
データサイエンティスト・アナリスト,日本電気株式会社,東京都 港区,月給 35.5万円 ~ 65.0万円
データアナリスト・データサイエンティスト,株式会社マネジメントソリューションズ,一部在宅 in 東京都 港区,"月給 416,666円 ~ 583,333円"
データアナリスト,株式会社インタースペース,東京都 新宿区 西新宿,"月給 300,700円 ~ 434,050円"
データアナリスト,株式会社プロトシステム/157766,東京都 千代田区 麹町,"月給 213,600円 以上"
データアナリスト,株式会社Eye Universe,東京都 千代田区 紀尾井町,月給 28万円 ~ 65万円
リテールDXデータアナリスト/インターネット/Webサービス・ASP,株式会社フェズ,東京都 千代田区 神田紺屋町,年収 500万円 ~ 800万円
データアナリスト・データサイエンティスト,YKK AP株式会社,東京都 千代田区,月給 25.2万円 ~ 55.0万円
データアナリスト/インターネット/Webサービス・ASP,TOPPAN株式会社,東京都 文京区 水道,年収 500万円 ~ 850万円
データアナリスト,株式会社エスタイル,東京都 渋谷区 神宮前,月給 27.5万円 ~ 47.0万円
システムエンジニア/データアナリスト,株式会社BookLive,東京都 港区,年収 500万円 ~ 600万円
士業・専門コンサルタント,株式会社WACUL,東京都 千代田区,"年俸 600万円 ~ 1,400万円"
データアナリスト/インターネット/Webサービス・ASP,株式会社400F,東京都 中央区 日本橋兜町,年収 500万円 ~ 800万円
データサイエンティスト・アナリスト,日本アイ･ビー･エムデジタルサービス株式会社,東京都 港区,月給 27万円 ~ 57万円
(未経験可)データアナリスト/人材サービス(紹介/派遣/教育/研修),株式会社ピープルドット,東京都 千代田区 神田神保町,年収 450万円 ~ 800万円
データアナリスト・データサイエンティスト,新生フィナンシャル株式会社,東京都 千代田区,"月給 387,820円 ~ 483,333円"
データアナリスト・データサイエンティスト,株式会社ビデオリサーチコミュニケーションズ,東京都 千代田区,月給 23.2万円 ~ 34.3万円
編集・記者・ライター,国際商業出版株式会社,東京都 中央区,月給 25万円 以上
データアナリスト・データサイエンティスト,YKK AP株式会社,東京都 千代田区,月給 25.2万円 ~ 55.0万円
データサイエンティスト・アナリスト,PayPay証券株式会社,東京都 千代田区,"月給 416,700円"
データアナリスト,株式会社FOLIO,フルリモート in 東京都 千代田区 一番町,"月給 500,000円 ~ 833,333円"
大手HR事業のデータアナリスト案件,株式会社IT&Plucktice,東京都 中央区 銀座,月給 79万円 ~ 80万円
精鋭データアナリスト チームの立ち上げ,株式会社ー心堂[1010038],東京都 千代田区 神田美倉町,年俸 500万円 ~ 700万円
PlanNEL データ分析アナリスト/インターネット/Webサービス・ASP,ザイオネックス株式会社,東京都 中央区 日本橋箱崎町,"年収 500万円 ~ 1,000万円"
データサイエンティスト・アナリスト,DBJデジタルソリューションズ株式会社,東京都 千代田区,"月給 362,500円 ~ 412,500円"
データサイエンティスト・アナリスト,エヌ・ティ・ティ・コミュニケーションズ株式会社,東京都 千代田区,"月給 416,666円 ~ 833,333円"
データサイエンティスト・アナリスト,エムシーデジタル株式会社,東京都 千代田区,"月給 512,400円"
エンジニア(海洋調査),サイスガジェット株式会社,東京都 大田区 大森北, 
データサイエンススタッフ 洞察を創出,株式会社ー心堂[1500013],東京都 渋谷区 恵比寿,年俸 400万円 ~ 600万円
データアナリスト,株式会社Eye Universe,東京都 千代田区 紀尾井町,月給 28万円 ~ 65万円
データアナリスト,アスクル株式会社,東京都 江東区 豊洲,"月給 256,667円 ~ 268,334円"
広告運用,株式会社Medical DX,東京都 目黒区,月給 10万円 ~ 48万円
\未経験インターン!/統計学を活用したダイナミックプライシングを実現!データアナリスト,matsuri technologies株式会社,東京都 新宿区 神楽坂,"時給 1,400円 ~ 1,500円"
データアナリスト,株式会社Luup,フルリモート in 東京都 千代田区 神田佐久間町,"月給 500,000円 ~ 833,333円"
データサイエンティスト・アナリスト,富士フイルムサービスクリエイティブ株式会社,一部在宅 in 東京都 新宿区,"月給 208,000円 ~ 393,900円"
システムエンジニア/データアナリスト,NSフィナンシャルマネジメントコンサルティング株式会社,東京都 港区 虎ノ門駅,年収 450万円 ~ 700万円
データアナリスト,株式会社アライバルクオリティー,東京都 渋谷区 代官山駅,月給 25万円 ~ 62万円
ビジネスデータ活用戦略作成,株式会社ー心堂[1020082],東京都 千代田区 一番町,年俸 600万円 ~ 900万円
データアナリスト,株式会社アクセルエンターメディア,東京都 渋谷区,"時給 1,500円 ~ 3,000円"
データアナリスト,アスクル株式会社,東京都 江東区 豊洲,"月給 256,667円 ~ 268,334円"
データアナリスト・データサイエンティスト,アヴネット株式会社,一部在宅 in 東京都 渋谷区,"月給 391,666円 ~ 608,333円"
データサイエンティスト・アナリスト,株式会社ジール,東京都 品川区,"月給 233,333円"
「stera transit」におけるデータアナリスト　※東京勤務,三井住友カード株式会社,東京都 江東区 豊洲駅,"年収 600万円 ~ 1,300万円"
データアナリスト・データサイエンティスト,株式会社リーン・ニシカタ,東京都 千代田区,"月給 416,666円 ~ 833,333円"
データサイエンティスト・アナリスト,OLTA株式会社,一部在宅 in 東京都 港区,"月給 432,092円 ~ 1,000,000円"
システムプロジェクト担当者 データ活用,株式会社ー心堂[1010053],東京都 千代田区 神田美土代町,年俸 710万円 ~ 950万円
