date,Phở,Bánh mì,Gỏi cuốn,Bún chả,Cà phê sữa đá,isPartial
2019-12-29,32,33,0,0,0,False
2020-01-05,27,0,0,0,0,False
2020-01-12,21,23,0,17,0,False
2020-01-19,23,43,0,0,0,False
2020-01-26,24,23,0,0,0,False
2020-02-02,0,27,0,0,0,False
2020-02-09,18,28,0,0,0,False
2020-02-16,25,25,0,0,0,False
2020-02-23,25,40,0,0,0,False
2020-03-01,19,41,0,0,0,False
2020-03-08,19,36,0,0,0,False
2020-03-15,29,22,0,0,0,False
2020-03-22,21,47,0,0,0,False
2020-03-29,0,52,0,0,0,False
2020-04-05,24,43,0,0,0,False
2020-04-12,0,47,0,0,0,False
2020-04-19,25,47,0,0,0,False
2020-04-26,0,44,0,0,0,False
2020-05-03,24,41,0,0,0,False
2020-05-10,23,41,0,0,0,False
2020-05-17,15,34,0,0,0,False
2020-05-24,0,19,0,0,0,False
2020-05-31,20,33,0,0,0,False
2020-06-07,16,20,0,0,0,False
2020-06-14,24,31,17,0,0,False
2020-06-21,19,28,0,0,0,False
2020-06-28,16,22,0,0,0,False
2020-07-05,0,0,0,0,0,False
2020-07-12,18,26,0,18,0,False
2020-07-19,0,36,0,17,0,False
2020-07-26,18,28,0,0,0,False
2020-08-02,22,27,0,0,0,False
2020-08-09,0,21,0,0,0,False
2020-08-16,27,37,0,0,0,False
2020-08-23,18,29,0,0,0,False
2020-08-30,17,26,0,0,0,False
2020-09-06,30,34,0,0,0,False
2020-09-13,18,35,0,0,0,False
2020-09-20,0,27,0,0,0,False
2020-09-27,25,17,0,0,0,False
2020-10-04,25,55,0,0,0,False
2020-10-11,19,37,0,0,0,False
2020-10-18,18,31,0,0,0,False
2020-10-25,0,40,0,0,0,False
2020-11-01,18,27,0,0,0,False
2020-11-08,25,38,0,0,0,False
2020-11-15,21,39,0,0,0,False
2020-11-22,19,31,0,0,0,False
2020-11-29,0,42,0,0,0,False
2020-12-06,22,42,0,0,0,False
2020-12-13,22,36,0,0,0,False
2020-12-20,21,27,0,0,0,False
2020-12-27,30,22,0,0,0,False
2021-01-03,19,21,0,0,0,False
2021-01-10,19,34,0,0,0,False
2021-01-17,24,34,0,0,0,False
2021-01-24,17,36,0,0,0,False
2021-01-31,0,37,0,0,0,False
2021-02-07,0,31,0,0,0,False
2021-02-14,19,23,0,0,0,False
2021-02-21,21,29,0,0,0,False
2021-02-28,31,33,0,0,0,False
2021-03-07,34,35,0,19,0,False
2021-03-14,0,32,0,0,0,False
2021-03-21,23,35,0,0,0,False
2021-03-28,0,21,0,0,0,False
2021-04-04,19,31,0,0,0,False
2021-04-11,22,34,0,0,0,False
2021-04-18,25,28,0,0,0,False
2021-04-25,35,33,0,0,0,False
2021-05-02,18,30,0,0,0,False
2021-05-09,0,36,0,0,0,False
2021-05-16,19,44,0,0,0,False
2021-05-23,0,27,0,0,0,False
2021-05-30,0,18,0,0,0,False
2021-06-06,27,25,0,0,0,False
2021-06-13,0,32,0,21,0,False
2021-06-20,0,31,0,0,0,False
2021-06-27,21,31,0,0,0,False
2021-07-04,28,32,0,0,0,False
2021-07-11,24,19,0,0,0,False
2021-07-18,0,48,0,0,0,False
2021-07-25,22,34,0,0,0,False
2021-08-01,21,38,0,0,0,False
2021-08-08,20,100,0,0,0,False
2021-08-15,23,40,0,0,0,False
2021-08-22,0,39,0,0,0,False
2021-08-29,22,34,0,0,0,False
2021-09-05,0,31,0,0,0,False
2021-09-12,21,32,0,0,0,False
2021-09-19,31,31,0,0,0,False
2021-09-26,0,34,0,0,0,False
2021-10-03,18,51,0,0,0,False
2021-10-10,27,36,0,0,0,False
